
 Lista de Imóveis da Caixa;;Data de geração:;29/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444400979730 ;AL ;ARAPIRACA ;MASSARANDUBA ;RUA PROJETADA 13, N. 168, LT 07 QD F ;83.644,06;200.280,49;58.24;Casa, 0.00 de área total, 83.38 de área privativa, 144.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400979730
 8444405479957 ;AL ;ARAPIRACA ;BOA VISTA ; RUA PROJETADA E, N. 53,  CS ;73.873,71;140.200,00;47.31;Casa, 99.30 de área total, 99.30 de área privativa, 160.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405479957
 8444405471964 ;AL ;ARAPIRACA ;BOA VISTA ; RUA PROJETADA F, N. 55, ;92.955,05;172.010,35;45.96;Casa, 0.00 de área total, 120.73 de área privativa, 181.20 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405471964
 8444403135070 ;AL ;ARAPIRACA ;BOA VISTA ;R PROJETADA B, N. 120, LT 13 QD C ;112.087,95;199.000,00;43.68;Casa, 0.00 de área total, 84.24 de área privativa, 189.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403135070
 8444404538437 ;AL ;ARAPIRACA ;BOA VISTA ; RUA PROJETADA G, N. 212, LT50 LOTEAMENTO RECANTO DA BOA VISTA ;108.713,51;185.000,00;41.24;Casa, 0.00 de área total, 94.40 de área privativa, 171.78 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404538437
 8444402891997 ;AL ;ARAPIRACA ;BOA VISTA ;RUA EXISTENTE, N. 703, LT 03 QD E ;89.739,50;147.000,00;38.96;Casa, 98.74 de área total, 98.74 de área privativa, 157.50 de área do terreno,  1 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402891997
 1444404516206 ;AL ;ARAPIRACA ;NOVA ESPERANCA ; RUA JOSÉ CÍCERO ALÉCIO DA SILVA, N. 208, ;153.911,40;241.500,00;36.27;Casa, 99.40 de área total, 99.40 de área privativa, 160.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444404516206
 8444431193593 ;AL ;ARAPIRACA ;BOA VISTA ; RUA MANOEL SATURNINO DE ALMEIDA, N. SN, LT 07 QD B ;52.095,17;56.000,00;6.98;Terreno, 0.00 de área total, 0.00 de área privativa, 153.30 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431193593
 8444413073395 ;AL ;ARAPIRACA ;ZELIA BARBOSA ROCHA ;RUA ANTONIO MENEZES NETO, N. 344, Apto 304, BL02 ;77.000,00;77.000,00;0.00;Apartamento, 72.29 de área total, 40.59 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413073395
 8444413232795 ;AL ;ARAPIRACA ;BRASILIA ;RUA SAO JUDAS TADEU, N. 358, ;160.000,00;160.000,00;0.00;Casa, 95.85 de área total, 95.85 de área privativa, 182.36 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413232795
 8444415458685 ;AL ;ARAPIRACA ;BOM SUCESSO ;RUA ANTONIA LEAO DE OLIVEIRA, N. 53, ;189.000,00;189.000,00;0.00;Casa, 98.66 de área total, 98.66 de área privativa, 202.71 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415458685
 8444435709411 ;AL ;ARAPIRACA ;MASSARANDUBA ; RUA SOB CÓDIGO MUNICIPAL 0108/516, N. 373,  LT 15 QD N ;432.486,93;432.486,93;0.00;Casa, 141.20 de área total, 120.35 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444435709411
 8555507349060 ;AL ;ARAPIRACA ;BOA VISTA ;RUA ANTÔNIO SATURNINO DE ALMEIDA, N. 61, LT 15, QD E ;179.000,00;179.000,00;0.00;Casa, 0.00 de área total, 88.69 de área privativa, 176.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555507349060
 8555515187715 ;AL ;ARAPIRACA ;SENADOR ARNON DE MELO ;RUA 04, N. 110, LT 19 QD F ;282.643,18;282.643,18;0.00;Casa, 0.00 de área total, 92.77 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555515187715
 8555518948709 ;AL ;ARAPIRACA ;MASSARANDUBA ; RUA PROJETADA 04, N. 78, QD-O, LT 09 ;233.000,00;233.000,00;0.00;Casa, 85.56 de área total, 85.56 de área privativa, 148.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555518948709
 8555537921276 ;AL ;ARAPIRACA ;BOM SUCESSO ; RUA EM PROJETO B, N. 05, QUADRA. B ;122.000,00;122.000,00;0.00;Casa, 53.98 de área total, 53.98 de área privativa, 126.40 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555537921276
 1444419418272 ;AL ;ARAPIRACA ;VERDES CAMPOS ;RUA 13 DE JUNHO, N. 384, QD/D LT/09 ;163.267,29;160.000,00;0.00;Casa, 0.00 de área total, 87.54 de área privativa, 216.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419418272
 1444412805076 ;AL ;ARAPIRACA ;ZELIA BARBOSA ROCHA ;RUA GERALDO VENTURA DE OLIVEIRA, N. 224,  QD M ;187.893,52;180.000,00;0.00;Casa, 109.71 de área total, 109.71 de área privativa, 207.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444412805076
 8555513904398 ;AL ;CORURIPE ;Alto do Cruzeiro ; RUA PROJETADA C, N. SN, AREA 59 ;145.728,47;238.000,00;38.77;Casa, 106.82 de área total, 106.82 de área privativa, 127.50 de área do terreno,  3 qto(s), varanda, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555513904398
 8444429995963 ;AL ;GIRAU DO PONCIANO ;ZONA URBANA ;RUA PROJETADA 08, N. 75, LT 14 QD BB ;77.983,66;148.000,00;47.31;Casa, 0.00 de área total, 82.84 de área privativa, 189.87 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429995963
 1444418426913 ;AL ;GIRAU DO PONCIANO ;LOT RES MORADA DO PR ; RODOVIA AL, N. 115, LT 02 QD I ;371.051,28;160.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418426913
 8444427060835 ;AL ;JARAMATAIA ;POVOADO CAMPO ALEGRE ;RUA PROJETADA, N. 7, . ;51.475,20;105.000,00;50.98;Casa, 0.00 de área total, 73.72 de área privativa, 97.77 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427060835
