
 Lista de Imóveis da Caixa;;Data de geração:;23/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444409668193 ;RS ;ALEGRETE ;CAPAO DO ANGICO ;RUA LARANJEIRA, N. 380, LT 02, QD F6 ;144.797,80;284.000,00;49.02;Casa, 0.00 de área total, 146.57 de área privativa, 285.20 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409668193
 10214912 ;RS ;ALEGRETE ;CENTRO ;RUA VASCO ALVES, N. 464, QD 41, LT 13 ;641.138,19;1.006.000,00;36.27;Casa, 0.00 de área total, 228.63 de área privativa, 508.80 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10214912
 1444408612129 ;RS ;ALVORADA ;UMBU ;RUA ONZE, N. 32, Apto 101, QUADRA 42 LOTE 1 ;27.948,90;114.000,00;75.49;Apartamento, 41.12 de área total, 39.36 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408612129
 8444402155336 ;RS ;ALVORADA ;UMBU ;RUA TRINTA E DOIS, N. 137, Apto 202, . ;34.159,76;114.000,00;70.04;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402155336
 8444430152613 ;RS ;ALVORADA ;MARIA REGINA ;RUA 16 UNIDOS (ANTIGA RUA 27), N. 85, Apto 403, ANTIGO NUM 83 ;36.291,37;102.500,00;64.60;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430152613
 8444412764793 ;RS ;ALVORADA ;UMBU ;RUA 26, N. 267, QD N3 LT 04 CS 01 ;45.972,83;128.000,00;64.09;Casa, 0.00 de área total, 31.50 de área privativa, 150.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412764793
 8444429364947 ;RS ;ALVORADA ;UMBU ;RUA AMAPA, N. 107, Apto 202, LT 05, QD F-1 ;62.529,69;170.000,00;63.22;Apartamento, 0.00 de área total, 42.70 de área privativa, 0.00 de área do terreno,  2 qto(s), 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429364947
 8444400618479 ;RS ;ALVORADA ;MARIA REGINA ;RUA RODA DE FOGO (ANTIGA RUA 28), N. 33, Apto 103, LT 07 QD 58 ;37.518,81;101.000,00;62.86;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400618479
 8444407702440 ;RS ;ALVORADA ;TIJUCA ;RUA VINTE E SETE, N. 63, Apto 203, Atual Dezesseis Unidos ;42.278,21;96.000,00;55.97;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407702440
 8444413299660 ;RS ;ALVORADA ;UMBU ;RUA TRINTA E UM, N. 118, Apto 402 ;50.596,50;112.000,00;54.83;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413299660
 8444423287959 ;RS ;ALVORADA ;JARDIM ALGARVE ;RUA R CENTO E CINQUENTA E QUATRO, N. 181, Apto 203, LT 52 QD E18 ;74.218,60;155.000,00;52.12;Apartamento, 0.00 de área total, 42.59 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423287959
 8444412975450 ;RS ;ALVORADA ;UMBU ;RUA DAS CAMELIAS ANTIGA RUA 26, N. 273, CS 02 ;76.669,20;158.000,00;51.48;Casa, 0.00 de área total, 31.50 de área privativa, 150.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412975450
 8444421709953 ;RS ;ALVORADA ;UMBU ;RUA BANDEIRANTE, N. 25, Apto 1, LT 03 QD O1 ;64.941,62;130.000,00;50.05;Apartamento, 0.00 de área total, 41.50 de área privativa, 0.01 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421709953
 8444417829907 ;RS ;ALVORADA ;UMBU ;RUA CARAMURU ANTIGA RUA 21, N. 129, Apto 3, . ;61.070,36;120.500,00;49.32;Apartamento, 0.00 de área total, 35.24 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417829907
 1444408525455 ;RS ;ALVORADA ;APARECIDA ;RUA ENI DAVILA FRAGOSO, N. 22, CASA ;78.217,16;151.800,00;48.48;Casa, 0.00 de área total, 65.00 de área privativa, 152.58 de área do terreno,  2 qto(s), varanda, a.serv, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408525455
 1444415822494 ;RS ;ALVORADA ;TIJUCA ;RUA SILVEIRA MARTINS, N. 260, Apto 304, BL A ;59.968,82;110.800,00;45.88;Apartamento, 0.00 de área total, 39.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415822494
 8444429256001 ;RS ;ALVORADA ;MARIA REGINA ;RUA DEZESSEIS UNIDOS, N. 31, Apto 302, CO ;51.147,39;93.000,00;45.01;Apartamento, 0.00 de área total, 39.78 de área privativa, 504.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429256001
 8444429692391 ;RS ;ALVORADA ;MARIA REGINA ;RUA SELVA DE PEDRA (ANTIGA RUA 30), N. 191, Apto 401, ;45.804,80;83.000,00;44.82;Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429692391
 8444416452222 ;RS ;ALVORADA ;UMBU ;RUA DAS CAMELIAS (RUA 26), N. 260, CS 01 ;90.746,77;155.000,00;41.46;Casa, 49.00 de área total, 48.02 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416452222
 8444428679626 ;RS ;ALVORADA ;MARIA REGINA ;RUA BARAO DE COTEGIPE, N. 149, Apto 104, ;94.234,99;159.021,00;40.75;Apartamento, 44.44 de área total, 38.80 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428679626
 8444430923695 ;RS ;ALVORADA ;JARDIM ALGARVE ;RUA CENTO E QUARENTA E OITO, N. 458, Apto 303, ;95.798,25;161.659,00;40.75;Apartamento, 0.00 de área total, 27.50 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430923695
 10218347 ;RS ;ALVORADA ;AMERICANA ;RUA MARIZ E BARROS (ANTIGA RUA A), N. 1062, QD 04, LT 13 ;219.000,00;365.000,00;40.00;Casa, 0.00 de área total, 184.82 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10218347
 8444406534447 ;RS ;ALVORADA ;APARECIDA ;RUA DOM PEDRITO, N. 117, PARTE LT 09 CHACARA 02 QD 31 ;217.461,60;362.436,00;40.00;Casa, 120.00 de área total, 120.00 de área privativa, 231.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406534447
