
 Lista de Imóveis da Caixa;;Data de geração:;26/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444410136272 ;CE ;CAUCAIA ;PARQUE POTIRA ;RUA VERA CRUZ, N. 2223, Apto 102, TIPO B ;108.444,81;183.000,00;40.75;Apartamento, 65.32 de área total, 59.47 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410136272
 8444423377206 ;CE ;CAUCAIA ;JARDIM ICARAI ;RUA SABINO XAVIER, N. 333, Apto 204, ;108.444,81;183.000,00;40.75;Apartamento, 56.16 de área total, 52.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423377206
 8555536572030 ;CE ;CAUCAIA ;PADRE ROMUALDO ;TRAVESSA 15 DE NOVEMBRO, N. 10, Apto 102, BL A TÉRREO ;94.815,14;160.000,00;40.75;Apartamento, 59.41 de área total, 54.48 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536572030
 8787714376101 ;CE ;CAUCAIA ;ITAMBE ;RUA QUINZE DE NOVEMBRO, N. 941, Apto 502, BL 01 TIPO 2Q ;106.667,03;180.000,00;40.75;Apartamento, 59.49 de área total, 44.04 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714376101
 8787714385755 ;CE ;CAUCAIA ;ITAMBE ;RUA QUINZE DE NOVEMBRO, N. 941, Apto 503, BL 06 TIPO Q2 ;106.667,03;180.000,00;40.75;Apartamento, 59.49 de área total, 44.04 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714385755
 8787714401300 ;CE ;CAUCAIA ;ITAMBE ;RUA QUINZE DE NOVEMBRO, N. 941, Apto 306, BL 02 ;103.704,06;175.000,00;40.75;Apartamento, 64.51 de área total, 47.76 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714401300
 8787714530690 ;CE ;CAUCAIA ;ITAMBE ;RUA QUINZE DE NOVEMBRO, N. 941, Apto 405, BL 08 TIPO 2Q ;106.667,03;180.000,00;40.75;Apartamento, 59.49 de área total, 44.04 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714530690
 8787714704699 ;CE ;CAUCAIA ;ITAMBE ;RUA 15 DE NOVEMBRO, N. 941, Apto 401, BL 11 ;106.667,03;180.000,00;40.75;Apartamento, 59.49 de área total, 44.04 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714704699
 10203828 ;CE ;CAUCAIA ;ALTO DO GARROTE ;RODOVIA CE-085 (RODOVIA ESTRUTURANTE), N. 00, KM 21 E 22 ;970.394,93;1.630.000,00;40.47;Gleba Urbana, 0.00 de área total, 0.00 de área privativa, 50000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10203828
 8444428484167 ;CE ;CAUCAIA ;PAUMIRIM ;RUA FRANCISCO COSTA GADELHA, N. 170, ;132.970,97;220.000,00;39.56;Casa, 0.00 de área total, 76.21 de área privativa, 150.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428484167
 8787713949736 ;CE ;CAUCAIA ;MARECHAL RONDON (JUREMA) ;RUA IDEALISTA, N. 355, Apto 201, PAV 02 BL 21 ;113.025,32;187.000,00;39.56;Apartamento, 84.49 de área total, 42.64 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713949736
