
 Lista de Imóveis da Caixa;;Data de geração:;26/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444405636175 ;MA ;ACAILANDIA ;VILA ILDEMAR ;RUA PROJETADA I, N. SN, LT 005B, QD 005, AR B, 3KM MD BR 222 ;195.776,40;479.000,00;59.13;Terreno, 0.00 de área total, 0.00 de área privativa, 2238.28 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405636175
 1444405622751 ;MA ;ACAILANDIA ;CENTRO ;RUA BARRA DO CORDA, N. 1, Q 15 LT 01 A ;519.816,00;989.191,42;47.46;Terreno, 0.00 de área total, 0.00 de área privativa, 3879.92 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405622751
 1555517770886 ;MA ;ACAILANDIA ;CENTRO ; RUA BRASIL, N. 250, JACU, VILA MARANHAO ;74.825,33;127.000,00;41.09;Casa, 65.25 de área total, 65.25 de área privativa, 165.80 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555517770886
 8444410671836 ;MA ;ACAILANDIA ;JARDIM GLORIA CITY ; RUA ANGELIM, N. SN, QD 85 LT 04 ;117.860,63;200.000,00;41.07;Casa, 65.67 de área total, 65.67 de área privativa, 180.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410671836
 10214479 ;MA ;ACAILANDIA ;. ;AVENIDA JOÃO CASTELO, N. 134, PEQUIÁ ;158.053,95;248.000,00;36.27;Comercial, 0.00 de área total, 140.36 de área privativa, 207.93 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10214479
 1444402740583 ;MA ;ACAILANDIA ;JARDIM BELA VISTA ; RUA DAS CHÁCARAS, N. SN, LT 13, QD 03 ;557.968,67;875.500,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 3088.58 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402740583
 1444405623545 ;MA ;ACAILANDIA ;VILA ILDEMAR ;ROD BR 222, N. SN, KM 07 ;295.076,52;463.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 2238.28 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405623545
 1444406164366 ;MA ;ACAILANDIA ;MONTE SINAI ;RUA DAS OLIVEIRAS, N. SN, QD18 LT3A-2 ;252.376,46;396.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 1409.40 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406164366
 1444421918996 ;MA ;ACAILANDIA ;JARDIM DE ALAH ; RUA 14, N. 10, QUADRA 46 ;641.211,54;641.211,54;0.00;Casa, 346.46 de área total, 346.46 de área privativa, 330.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444421918996
 1444405260396 ;MA ;AXIXA ;CENTRO ;RUA  BOM MILAGRE, N. 20, . ;54.273,19;167.000,00;67.51;Casa, 0.00 de área total, 165.49 de área privativa, 1550.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405260396
 10215806 ;MA ;BACABAL ;ESPERANÇA ;RUA 10 DE NOVEMBRO, N. 300-A, LT 300 A ;813.850,36;1.277.000,00;36.27;Casa, 0.00 de área total, 355.79 de área privativa, 3482.50 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10215806
 8444426597495 ;MA ;BACABAL ;BACABAL ; RUA DAS MAGNOLIAS, N. SN, QD 16, CS 52 ;147.348,98;142.000,00;0.00;Casa, 60.45 de área total, 60.45 de área privativa, 135.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426597495
 8444426976771 ;MA ;BACABAL ;ESTR DA BELA VISTA ; RUA CATARATAS DO IGUACU, N. SN, CS 04 QD 25 ;92.884,76;84.000,00;0.00;Casa, 36.15 de área total, 36.15 de área privativa, 169.71 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426976771
 1444418828442 ;MA ;BALSAS ;BAIRRO SÃO FÉLIX ; RUA 18, N. SN, LT URBANO 17, QD 37 ;298.500,00;109.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 400.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418828442
 1555513941058 ;MA ;BARRA DO CORDA ;TREZIDELA ;RUA RIO TAPAJÓS, N. 126-A, PARTE LT 01 QD 19 ;83.147,81;74.000,00;0.00;Casa, 92.47 de área total, 92.47 de área privativa, 184.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555513941058
 8444415604371 ;MA ;BREJO ;CENTRO ; RUA FRANCISCO ALVES FRANCO, N. 01, ;97.839,43;185.000,00;47.12;Casa, 0.00 de área total, 81.97 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415604371
 8444415930597 ;MA ;BURITICUPU ;CENTRO ;RUA PROJETADA 03, N. 3, . ;33.434,38;117.000,00;71.43;Casa, 0.00 de área total, 79.95 de área privativa, 153.87 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415930597
 1444402969300 ;MA ;BURITICUPU ;CENTRO ; RUA DUQUE DE CAXIAS, N. 765, ;202.413,66;340.000,00;40.47;Casa, 0.00 de área total, 275.30 de área privativa, 894.45 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402969300
 8555520131374 ;MA ;CHAPADINHA ; NOVO CASTELO ;RUA 28 DE MARCO, N. 16, . ;94.394,58;177.500,00;46.82;Casa, 0.00 de área total, 120.00 de área privativa, 148.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555520131374
 8444416807780 ;MA ;CHAPADINHA ;PARQUE UNIVERSITÁRIO ; RUA DA MATEMATICA, N. 01, ;72.730,45;135.000,00;46.13;Casa, 0.00 de área total, 68.00 de área privativa, 154.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416807780
 1555508119205 ;MA ;CHAPADINHA ;SÃO JOSÉ ; TRAVESSA DA CORRENTE, N. 819, ;130.290,62;230.000,00;43.36;Casa, 0.00 de área total, 133.00 de área privativa, 129.02 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555508119205
 10211333 ;MA ;CHAPADINHA ;PARQUE MOISÉS AMORIM ;AVENIDA PRINCIPAL, N. SN, LT 07 ;75.777,07;132.000,00;42.60;Terreno, 0.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10211333
 10211340 ;MA ;CHAPADINHA ;PARQUE MOISÉS AMORIM ;AVENIDA PRINCIPAL, N. SN, LT 06 ;73.480,79;128.000,00;42.60;Terreno, 0.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10211340
 8555517014990 ;MA ;CHAPADINHA ;CENTRO ;RUA PROJETADA, N. 8, CS 08 LT 08 BAIRRO CATERPILLAR ;93.600,32;162.000,00;42.23;Casa, 0.00 de área total, 68.18 de área privativa, 150.69 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555517014990
